,RaceId,DriverId,ConstructorId,GridNumber,QualifyingPosition,CircuitId,TotalDriverPoints
590,30,3,3,15,15,13,9
591,30,4,4,6,6,13,23
592,30,5,1,3,3,13,43
593,30,6,3,19,19,13,8
594,30,7,5,9,9,13,4
595,30,8,6,4,4,13,57
596,30,9,2,8,8,13,58
597,30,10,7,13,13,13,15
598,30,12,4,12,12,13,13
599,30,13,6,2,2,13,74
600,30,14,9,14,14,13,6
601,30,15,7,11,11,13,26
602,30,16,10,18,18,13,0
603,30,17,9,7,7,13,19
604,30,18,11,17,17,13,3
605,30,20,5,10,10,13,13
606,30,21,10,20,20,13,0
607,30,22,11,16,16,13,11
608,31,1,1,15,15,14,78
609,31,2,2,10,10,14,53
610,31,3,3,5,5,14,9
611,31,4,4,8,8,14,28
612,31,5,1,2,2,14,51
613,31,6,3,18,18,14,8
614,31,7,5,4,4,14,4
615,31,8,6,14,14,14,57
616,31,9,2,11,11,14,64
617,31,10,7,9,9,14,15
618,31,12,4,17,17,14,13
619,31,13,6,6,6,14,77
620,31,14,9,13,13,14,6
621,31,15,7,7,7,14,26
622,31,16,10,20,20,14,0
623,31,17,9,3,3,14,20
624,31,18,11,19,19,14,3
625,31,20,5,1,1,14,23
626,31,21,10,12,12,14,0
627,31,22,11,16,16,14,11
628,32,1,1,2,2,15,84
629,32,2,2,9,6,15,56
630,32,3,3,8,9,15,17
631,32,4,4,15,15,15,38
632,32,5,1,5,5,15,51
633,32,6,3,10,10,15,9
634,32,7,5,17,17,15,4
635,32,8,6,3,3,15,57
636,32,9,2,4,4,15,64
637,32,10,7,7,8,15,20
638,32,12,4,16,16,15,13
639,32,13,6,1,1,15,77
640,32,14,9,14,14,15,8
641,32,15,7,11,11,15,26
642,32,16,10,19,19,15,0
643,32,17,9,13,13,15,20
644,32,18,11,12,12,15,3
645,32,20,5,6,7,15,27
646,32,21,10,20,20,15,0
647,32,22,11,18,18,15,11
648,33,1,1,1,1,16,84
649,33,2,2,16,16,16,56
650,33,3,3,15,15,16,17
651,33,4,4,4,4,16,48
652,33,5,1,3,3,16,51
653,33,6,3,14,14,16,9
654,33,7,5,10,10,16,4
655,33,8,6,2,2,16,63
656,33,9,2,6,6,16,72
657,33,10,7,8,8,16,20
658,33,12,4,12,12,16,18
659,33,13,6,5,5,16,79
660,33,14,9,11,11,16,8
661,33,15,7,7,7,16,30
662,33,16,10,19,19,16,0
663,33,17,9,13,13,16,21
664,33,18,11,18,18,16,3
665,33,20,5,9,9,16,30
666,33,21,10,20,20,16,0
667,33,22,11,17,17,16,11
668,34,1,1,1,1,17,94
669,34,2,2,9,7,17,60
670,34,3,3,14,15,17,17
671,34,4,4,4,4,17,53
672,34,5,1,5,5,17,51
673,34,6,3,17,17,17,9
674,34,7,5,8,10,17,4
675,34,8,6,2,2,17,69
676,34,9,2,11,12,17,75
677,34,10,7,12,13,17,22
678,34,12,4,10,11,17,19
679,34,13,6,3,3,17,87
680,34,14,9,15,16,17,8
681,34,15,7,7,9,17,30
682,34,16,10,19,19,17,0
683,34,17,9,16,6,17,21
684,34,18,11,18,18,17,3
685,34,20,5,6,8,17,30
686,34,21,10,20,20,17,0
687,34,22,11,13,14,17,11
688,35,1,1,4,4,18,98
689,35,2,2,8,8,18,60
690,35,3,3,18,18,18,17
691,35,4,4,6,6,18,61
692,35,5,1,5,5,18,53
693,35,6,3,16,16,18,9
694,35,7,5,9,9,18,4
695,35,8,6,3,3,18,75
696,35,9,2,13,13,18,75
697,35,10,7,10,10,18,25
698,35,12,4,11,11,18,19
699,35,13,6,1,1,18,97
700,35,14,9,14,14,18,8
701,35,15,7,2,2,18,31
702,35,16,10,20,20,18,0
703,35,17,9,12,12,18,21
704,35,18,11,17,17,18,3
705,35,20,5,7,7,18,35
706,35,21,10,19,19,18,0
707,35,22,11,15,15,18,11
708,337,1,1,4,4,3,15
709,337,3,131,5,5,3,10
710,337,4,6,3,3,3,25
711,337,5,205,21,21,3,0
712,337,9,4,9,9,3,0
713,337,10,166,19,19,3,0
714,337,13,6,2,2,3,18
715,337,15,205,20,20,3,0
716,337,16,10,10,10,3,0
717,337,17,9,6,6,3,4
718,337,18,1,8,8,3,6
719,337,20,9,1,1,3,12
720,337,22,3,11,11,3,1
721,337,24,10,12,12,3,2
722,337,30,131,7,7,3,8
723,337,37,15,14,14,3,0
724,337,67,5,15,15,3,0
725,337,153,5,18,18,3,0
726,337,155,15,16,16,3,0
727,337,807,3,13,13,3,0
728,337,808,4,17,17,3,0
729,337,810,166,22,22,3,0
730,337,811,164,23,23,3,0
731,337,812,164,24,24,3,0
732,338,1,1,11,11,1,23
733,338,3,131,6,6,1,20
734,338,4,6,3,3,1,37
