,RaceId,DriverId,ConstructorId,GridNumber,QualifyingPosition,CircuitId,TotalDriverPoints,DriverPosition
438,22,12,4,17,17.0,5,0,15
439,22,13,6,1,1.0,5,28,1
440,22,14,9,10,10.0,5,0,9
441,22,15,7,8,8.0,5,9,10
442,22,16,10,19,20.0,5,0,16
443,22,17,9,6,6.0,5,10,7
444,22,18,11,13,13.0,5,3,11
445,22,20,5,14,14.0,5,0,17
446,22,21,10,20,19.0,5,0,\N
447,22,22,11,12,12.0,5,0,14
448,23,1,1,3,3.0,6,38,1
449,23,2,2,12,13.0,6,20,14
450,23,3,3,6,6.0,6,8,\N
451,23,4,4,7,7.0,6,9,10
452,23,5,1,4,4.0,6,15,8
453,23,6,3,13,14.0,6,7,7
454,23,7,5,16,16.0,6,2,\N
455,23,8,6,2,2.0,6,35,9
456,23,9,2,5,5.0,6,32,2
457,23,10,7,10,11.0,6,0,12
458,23,12,4,17,17.0,6,0,\N
459,23,13,6,1,1.0,6,34,3
460,23,14,9,15,10.0,6,0,\N
461,23,15,7,8,8.0,6,9,13
462,23,16,10,18,19.0,6,0,\N
463,23,17,9,9,9.0,6,15,4
464,23,18,11,11,12.0,6,3,11
465,23,20,5,19,18.0,6,4,5
466,23,21,10,20,20.0,6,0,\N
467,23,22,11,14,15.0,6,3,6
468,24,1,1,1,1.0,7,38,\N
469,24,2,2,8,8.0,7,28,2
470,24,3,3,5,5.0,7,8,10
471,24,4,4,4,4.0,7,9,\N
472,24,5,1,7,7.0,7,15,9
473,24,6,3,12,12.0,7,7,\N
474,24,7,5,18,16.0,7,2,13
475,24,8,6,3,3.0,7,35,\N
476,24,9,2,2,2.0,7,42,1
477,24,10,7,11,11.0,7,5,4
478,24,12,4,15,15.0,7,0,\N
479,24,13,6,6,6.0,7,38,5
480,24,14,9,13,13.0,7,6,3
481,24,15,7,14,14.0,7,12,6
482,24,16,10,16,17.0,7,0,\N
483,24,17,9,10,10.0,7,15,12
484,24,18,11,20,19.0,7,3,11
485,24,20,5,19,20.0,7,5,8
486,24,21,10,17,18.0,7,0,\N
487,24,22,11,9,9.0,7,5,7
488,25,1,1,13,3.0,8,38,10
489,25,2,2,11,12.0,8,28,13
490,25,3,3,19,15.0,8,8,16
491,25,4,4,3,4.0,8,10,8
492,25,5,1,10,6.0,8,20,4
493,25,6,3,15,16.0,8,7,15
494,25,7,5,14,14.0,8,2,17
495,25,8,6,1,1.0,8,43,2
496,25,9,2,5,7.0,8,46,5
497,25,10,7,8,10.0,8,5,11
498,25,12,4,9,11.0,8,2,7
499,25,13,6,2,2.0,8,48,1
500,25,14,9,7,9.0,8,6,9
501,25,15,7,4,5.0,8,18,3
502,25,16,10,18,20.0,8,0,19
503,25,17,9,6,8.0,8,18,6
504,25,18,11,16,17.0,8,3,\N
505,25,20,5,12,13.0,8,5,12
506,25,21,10,17,19.0,8,0,18
507,25,22,11,20,18.0,8,5,14
508,26,1,1,4,4.0,9,48,1
509,26,2,2,5,5.0,9,36,2
510,26,3,3,20,18.0,9,8,9
511,26,4,4,6,6.0,9,13,6
512,26,5,1,1,1.0,9,24,5
513,26,6,3,15,15.0,9,8,8
514,26,7,5,13,13.0,9,2,11
515,26,8,6,3,3.0,9,48,4
516,26,9,2,10,10.0,9,46,\N
517,26,10,7,12,12.0,9,5,12
518,26,12,4,7,7.0,9,2,\N
519,26,13,6,9,9.0,9,48,13
520,26,14,9,11,11.0,9,6,\N
521,26,15,7,14,14.0,9,20,7
522,26,16,10,18,19.0,9,0,\N
523,26,17,9,2,2.0,9,18,10
524,26,18,11,17,17.0,9,3,\N
525,26,20,5,8,8.0,9,5,\N
526,26,21,10,19,20.0,9,0,\N
527,26,22,11,16,16.0,9,11,3
528,27,1,1,1,1.0,10,58,1
529,27,2,2,12,12.0,10,41,4
530,27,3,3,13,13.0,10,8,10
531,27,4,4,5,5.0,10,13,11
532,27,5,1,3,3.0,10,28,5
533,27,6,3,16,16.0,10,8,14
534,27,7,5,15,15.0,10,2,12
535,27,8,6,6,6.0,10,51,6
536,27,9,2,7,7.0,10,48,7
537,27,10,7,11,11.0,10,5,\N
538,27,12,4,17,17.0,10,10,2
539,27,13,6,2,2.0,10,54,3
540,27,14,9,10,10.0,10,6,13
541,27,15,7,4,4.0,10,20,9
542,27,16,10,19,19.0,10,0,15
543,27,17,9,8,8.0,10,18,\N
544,27,18,11,14,14.0,10,3,17
545,27,20,5,9,9.0,10,6,8
546,27,21,10,20,20.0,10,0,16
547,27,22,11,18,18.0,10,11,\N
548,28,1,1,1,1.0,11,62,5
549,28,2,2,15,16.0,11,41,10
550,28,3,3,14,15.0,11,8,14
551,28,4,4,7,7.0,11,18,4
552,28,5,1,2,2.0,11,38,1
553,28,6,3,16,17.0,11,8,13
554,28,7,5,19,14.0,11,2,18
555,28,8,6,6,6.0,11,57,3
556,28,9,2,4,4.0,11,49,8
557,28,10,7,5,5.0,11,13,2
558,28,12,4,10,10.0,11,13,6
559,28,13,6,3,3.0,11,54,17
560,28,14,9,13,13.0,11,6,11
561,28,15,7,9,9.0,11,22,7
562,28,16,10,20,20.0,11,0,\N
563,28,17,9,8,8.0,11,18,9
564,28,18,11,12,12.0,11,3,12
565,28,20,5,11,11.0,11,6,\N
566,28,21,10,18,19.0,11,0,15
567,28,22,11,17,18.0,11,11,16
568,29,1,1,2,2.0,12,70,2
569,29,2,2,8,8.0,12,41,9
570,29,3,3,9,9.0,12,9,8
571,29,4,4,12,12.0,12,18,\N
572,29,5,1,5,5.0,12,43,4
573,29,6,3,11,11.0,12,8,15
574,29,7,5,10,10.0,12,2,10
575,29,8,6,4,4.0,12,57,\N
576,29,9,2,3,3.0,12,55,3
577,29,10,7,13,13.0,12,15,7
578,29,12,4,15,15.0,12,13,11
579,29,13,6,1,1.0,12,64,1
580,29,14,9,17,17.0,12,6,17
581,29,15,7,7,7.0,12,26,5
582,29,16,10,20,20.0,12,0,\N
583,29,17,9,14,14.0,12,18,12
584,29,18,11,16,16.0,12,3,13
585,29,20,5,6,6.0,12,9,6
586,29,21,10,18,18.0,12,0,14
587,29,22,11,19,19.0,12,11,16
588,30,1,1,1,1.0,13,76,3
589,30,2,2,5,5.0,13,49,2
590,30,3,3,15,15.0,13,9,12
591,30,4,4,6,6.0,13,23,4
592,30,5,1,3,3.0,13,43,10
593,30,6,3,19,19.0,13,8,14
594,30,7,5,9,9.0,13,4,7
595,30,8,6,4,4.0,13,57,18
596,30,9,2,8,8.0,13,58,6
597,30,10,7,13,13.0,13,15,9
598,30,12,4,12,12.0,13,13,\N
599,30,13,6,2,2.0,13,74,1
600,30,14,9,14,14.0,13,6,11
601,30,15,7,11,11.0,13,26,16
602,30,16,10,18,18.0,13,0,13
603,30,17,9,7,7.0,13,19,8
604,30,18,11,17,17.0,13,3,15
605,30,20,5,10,10.0,13,13,5
606,30,21,10,20,20.0,13,0,17
607,30,22,11,16,16.0,13,11,\N
608,31,1,1,15,15.0,14,78,7
609,31,2,2,10,10.0,14,53,5
610,31,3,3,5,5.0,14,9,14
611,31,4,4,8,8.0,14,28,4
612,31,5,1,2,2.0,14,51,2
613,31,6,3,18,18.0,14,8,12
614,31,7,5,4,4.0,14,4,18
615,31,8,6,14,14.0,14,57,9
616,31,9,2,11,11.0,14,64,3
617,31,10,7,9,9.0,14,15,11
618,31,12,4,17,17.0,14,13,10
619,31,13,6,6,6.0,14,77,6
620,31,14,9,13,13.0,14,6,16
621,31,15,7,7,7.0,14,26,13
622,31,16,10,20,20.0,14,0,19
623,31,17,9,3,3.0,14,20,8
624,31,18,11,19,19.0,14,3,15
625,31,20,5,1,1.0,14,23,1
626,31,21,10,12,12.0,14,0,\N
627,31,22,11,16,16.0,14,11,17
628,32,1,1,2,2.0,15,84,3
629,32,2,2,9,6.0,15,56,6
630,32,3,3,8,9.0,15,17,2
631,32,4,4,15,15.0,15,38,1
632,32,5,1,5,5.0,15,51,10
633,32,6,3,10,10.0,15,9,8
634,32,7,5,17,17.0,15,4,12
635,32,8,6,3,3.0,15,57,15
636,32,9,2,4,4.0,15,64,11
637,32,10,7,7,8.0,15,20,4
638,32,12,4,16,16.0,15,13,\N
639,32,13,6,1,1.0,15,77,13
640,32,14,9,14,14.0,15,8,7
641,32,15,7,11,11.0,15,26,\N
642,32,16,10,19,19.0,15,0,\N
643,32,17,9,13,13.0,15,20,\N
644,32,18,11,12,12.0,15,3,9
645,32,20,5,6,7.0,15,27,5
646,32,21,10,20,20.0,15,0,14
647,32,22,11,18,18.0,15,11,\N
648,33,1,1,1,1.0,16,84,12
649,33,2,2,16,16.0,16,56,9
650,33,3,3,15,15.0,16,17,11
651,33,4,4,4,4.0,16,48,1
652,33,5,1,3,3.0,16,51,\N
653,33,6,3,14,14.0,16,9,15
654,33,7,5,10,10.0,16,4,10
655,33,8,6,2,2.0,16,63,3
656,33,9,2,6,6.0,16,72,2
657,33,10,7,8,8.0,16,20,\N
658,33,12,4,12,12.0,16,18,4
659,33,13,6,5,5.0,16,79,7
660,33,14,9,11,11.0,16,8,\N
661,33,15,7,7,7.0,16,30,5
662,33,16,10,19,19.0,16,0,\N
663,33,17,9,13,13.0,16,21,8
664,33,18,11,18,18.0,16,3,14
665,33,20,5,9,9.0,16,30,6
666,33,21,10,20,20.0,16,0,\N
667,33,22,11,17,17.0,16,11,13
668,34,1,1,1,1.0,17,94,1
669,34,2,2,9,7.0,17,60,5
670,34,3,3,14,15.0,17,17,15
671,34,4,4,4,4.0,17,53,4
